"date","year","est_pct_illuminated","pct_fixed","accident_num","city","state","fatalities"
1966-11-30,1966,94.5,105.3,"LAX67A0054 "," Santee","CA ",1
1966-12-02,1966,79.9,119.9,"NYC67A0090 "," Copenhagen","NY ",2
1966-12-02,1966,79.9,119.9,"MIA67A0062 "," Spring City","TN ",1
1966-12-03,1966,69.9,129.9,"MKC67F0330 "," Forest Lake","MN ",1
1966-12-03,1966,69.9,129.9,"MIA67A0064 "," St.augustine","FL ",4
1966-12-03,1966,69.9,129.9,"FTW67A0059 "," Alexandria","LA ",2
1966-12-04,1966,58.8,141,"FTW67A0060 "," Ponca City","OK ",1
1966-12-04,1966,58.8,141,"MKC67A0037 "," Anselmo","NE ",2
1966-12-05,1966,47,152.8,"CHI67A0072 "," Pataskala","OH ",1
1966-12-05,1966,47,152.8,"FTW67A0061 "," Dover","AR ",1
1966-12-06,1966,35.4,164.4,"FTW67A0062 "," Franklin","AR ",2
1966-12-06,1966,35.4,164.4,"DEN67A0035 "," Woods Cross","UT ",2
1966-12-06,1966,35.4,164.4,"SEA67A0041 "," Ndavenport","WA ",1
1966-12-08,1966,15,184.8,"LAX67A0057 "," Carlsbad","CA ",1
1966-12-08,1966,15,184.8,"FTW67A0063 "," New Orleans","LA ",1
1966-12-08,1966,15,184.8,"SEA68A0008 "," Ashland","OR ",1
1966-12-09,1966,7.6,192.2,"MKC67A0038 "," Minneapolis","MN ",1
1966-12-10,1966,2.5,197.3,"NYC67A0093 "," Frederick","MD ",1
1966-12-11,1966,0.2,199.6,"NYC67A0092 "," North Canaan","CT ",2
1966-12-12,1966,0.6,0.6,"CHI67A0074 "," Dowagiac","MI ",1
1966-12-12,1966,0.6,0.6,"CHI67A0073 "," Toledo","OH ",1
1966-12-12,1966,0.6,0.6,"FTW67F0372 "," Bellville","TX ",1
1966-12-14,1966,8.6,8.6,"FTW67A0064 "," Alamo","TX ",1
1966-12-16,1966,23.3,23.3,"CHI67A0076 "," Pekin","IL ",2
1966-12-18,1966,41.7,41.7,"LAX67A0060 "," Moorpark","CA ",1
1966-12-19,1966,51.3,51.3,"CHI67A0081 "," Ashtabula","OH ",4
1966-12-19,1966,51.3,51.3,"MIA67A0067 "," Nbowling Green","SC ",2
1966-12-20,1966,60.9,60.9,"OAK67A0056 "," Baja,Mex","MX ",10
1966-12-23,1966,86.4,86.4,"LAX67A0061 "," Chatsworth","CA ",1
1966-12-26,1966,98.45,98.45,"MIA67F0349 "," Dyersburg","TN ",1
1966-12-26,1966,98.45,98.45,"SEA67A0044 "," Wolf Creek","MT ",2
1966-12-29,1966,96.7,102.5,"OAK67A0055 "," Garberville","CA ",2
1966-12-29,1966,96.7,102.5,"FTW67A0066 "," Anthony","NM ",1
1966-12-30,1966,91.2,108,"MKC67A0039 "," Hutchinson","KS ",3
1966-12-31,1966,83.4,115.8,"MIA67A0069 "," St.marys","GA ",2
1967-01-01,1967,73.7,125.5,"MKC67A0041 "," Spring Grove","MN ",1
1967-01-01,1967,73.7,125.5,"LAX67A0063 "," Earlimart","CA ",1
1967-01-01,1967,73.7,125.5,"MKC67A0040 "," Hoy","KS ",4
1967-01-02,1967,62.7,136.5,"MIA67A0070 "," Rebecca","GA ",3
1967-01-02,1967,62.7,136.5,"MIA67A0071 "," Lawrenceville","GA ",2
1967-01-02,1967,62.7,136.5,"MIA67A0072 "," Manila","AL ",2
1967-01-02,1967,62.7,136.5,"FTW67A0068 "," Ardmore","OK ",4
1967-01-02,1967,62.7,136.5,"MIA67A0073 "," Jacksonville","FL ",2
